id,category,input_text,sentiment_label,summary,generated_reference
1,education,My experience with the textbook was awesome.,positive,Positive feedback about textbook.,The textbook was awesome based on the user's experience.
2,food,My experience with the Vegan meal was hated it.,negative,Negative feedback about Vegan meal.,The Vegan meal was hated it based on the user's experience.
3,education,My experience with the coding bootcamp was okay.,neutral,Neutral feedback about coding bootcamp.,The coding bootcamp was okay based on the user's experience.
4,education,My experience with the MOOC was not bad.,neutral,Neutral feedback about MOOC.,The MOOC was not bad based on the user's experience.
5,entertainment,My experience with the video game was great.,positive,Positive feedback about video game.,The video game was great based on the user's experience.
6,food,My experience with the Sushi was annoying.,negative,Negative feedback about Sushi.,The Sushi was annoying based on the user's experience.
7,technology,My experience with the AI chatbot was not worth it.,negative,Negative feedback about AI chatbot.,The AI chatbot was not worth it based on the user's experience.
8,technology,My experience with the iPhone 15 was awful.,negative,Negative feedback about iPhone 15.,The iPhone 15 was awful based on the user's experience.
9,technology,My experience with the quantum computer was average.,neutral,Neutral feedback about quantum computer.,The quantum computer was average based on the user's experience.
10,healthcare,My experience with the telemedicine was normal.,neutral,Neutral feedback about telemedicine.,The telemedicine was normal based on the user's experience.
11,customer_service,My experience with the restaurant service was terrible.,negative,Negative feedback about restaurant service.,The restaurant service was terrible based on the user's experience.
12,food,My experience with the Vegan meal was normal.,neutral,Neutral feedback about Vegan meal.,The Vegan meal was normal based on the user's experience.
13,technology,My experience with the AI chatbot was average.,neutral,Neutral feedback about AI chatbot.,The AI chatbot was average based on the user's experience.
14,food,My experience with the Pasta was acceptable.,neutral,Neutral feedback about Pasta.,The Pasta was acceptable based on the user's experience.
15,education,My experience with the online course was average.,neutral,Neutral feedback about online course.,The online course was average based on the user's experience.
16,technology,My experience with the blockchain technology was superb.,positive,Positive feedback about blockchain technology.,The blockchain technology was superb based on the user's experience.
17,customer_service,My experience with the delivery service was not bad.,neutral,Neutral feedback about delivery service.,The delivery service was not bad based on the user's experience.
18,entertainment,My experience with the Netflix series was boring.,negative,Negative feedback about Netflix series.,The Netflix series was boring based on the user's experience.
19,healthcare,My experience with the hospital experience was fine.,neutral,Neutral feedback about hospital experience.,The hospital experience was fine based on the user's experience.
20,technology,My experience with the AI chatbot was satisfying.,positive,Positive feedback about AI chatbot.,The AI chatbot was satisfying based on the user's experience.
